SC - I-29 @ 1st St in Sergeant Bluff (02),42.400081,-96.366856
SC - I-29 @ 8th St in Sergeant Bluff (03),42.410123,-96.365032
SC - I-29 @ Singing Hills (04),42.43186,-96.373379
SC - I-29 @ US 20 - South (05),42.445765,-96.373508
SC - I-29 @ US 20 (06),42.446988,-96.378293
SC - I-29 @ US 20 - North (07),42.45115,-96.374495
SC - I-29 @ RR Bridge (08),42.47175,-96.381683
SC - I-29 @ Floyd (09),42.486362,-96.393871
SC - I-29 @ Wesley Parkway (10),42.490881,-96.412976
SC - I-29 @ Hamilton (11),42.492049,-96.424298
SC - I-29 @ South of Riverside (12),42.491267,-96.441833
SC - I-29 @ Riverside (13),42.492735,-96.466935
SC - US 20 @ Lakeport (14),42.443297,-96.3466
SC - US 20 @ Christy (15),42.445121,-96.337545
SC - US 20 @ Sunnybrook (16),42.45379,-96.334369
SC - US 20 @ Morningside (17),42.460034,-96.327589
SC - US 20 @ Gordon (18),42.475226,-96.323469
SC - Gordon Dr @ Nebraska (19),42.489624,-96.403463
SC - Gordon Dr @ Virginia (20),42.489731,-96.397648
SC - S Lewis @ Singing Hills (21),42.435186,-96.370161
SC - S Lewis @ Glenn (22),42.465227,-96.375504
SC - S Lewis @ Golf Course (23),42.470076,-96.377714
SC - S Lewis @ Gordon (25),42.489238,-96.380546
SC - I-29 @ Bluff (26),42.492907,-96.413312
SC - I-29 @ S. Riverside (27),42.492383,-96.450789
SC - I-29 @ Gordon Dr Off Ramp (29),42.488191,-96.400025
DM - I-35/80/235 @ NE Mixmaster (01),41.653504,-93.574033
CB - I-80 @ Missouri River Bridge (01),41.231067,-95.908499
CB - I-29/80 @ 24th Street (03),41.231797,-95.878673
CB - I-29/80 @ Indian Creek (04),41.231668,-95.865304
CB - I-29/80 @ S Expressway (05),41.231432,-95.851851
CB - I-80 @ East I-29 Interchange (06),41.227334,-95.838289
CB - I-80 @ Harry Langdon (07),41.234779,-95.826466
CB - I-80 @ Madison Avenue (08),41.242054,-95.824063
CB - I-80 @ Valley View (09),41.249456,-95.811746
CB - I-80 @ McPherson (10),41.260571,-95.80385
CB - I-80 @ Hubbard Road (11),41.267545,-95.795331
CB - I-80 @ US 6 (12),41.27969,-95.785203
CB - I-29 @ IA 370 (13),41.149378,-95.822582
CB - I-29 @ 192nd Street (14),41.174247,-95.823956
